"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.599596813E1,-9.852127075E0,4.432188034E1,2.001565933E1
5.600591313E1,-1.068749237E1,4.431220245E1,1.965735245E1
5.601585812E1,-1.117567444E1,4.428130341E1,1.947612381E1
5.602580312E1,-1.155425262E1,4.408473206E1,1.942139053E1
5.603574812E1,-1.183627319E1,4.401261139E1,1.985198212E1
5.604569413E1,-1.178466034E1,4.374086380E1,2.025221252E1
5.605563912E1,-1.157643127E1,4.357346344E1,2.071612167E1
5.606558412E1,-1.136963654E1,4.338304138E1,2.122289276E1
5.607552912E1,-1.123334503E1,4.316234207E1,2.150179291E1
5.608547412E1,-1.123027039E1,4.313071442E1,2.170938110E1
5.609541912E1,-1.118134308E1,4.311943436E1,2.187020874E1
5.610536412E1,-1.102852631E1,4.312369919E1,2.183407974E1
5.611531012E1,-1.105182648E1,4.317874146E1,2.170962524E1
5.612525512E1,-1.105419922E1,4.333805847E1,2.150555420E1
5.613520012E1,-1.107996368E1,4.357051468E1,2.115811157E1
5.614514512E1,-1.108796692E1,4.385113907E1,2.083435822E1
5.615509012E1,-1.108796692E1,4.385113907E1,2.083435822E1
5.616503513E1,-1.127484894E1,4.394872665E1,2.073708344E1
5.617498013E1,-1.130524445E1,4.373383713E1,2.087572479E1
5.618492612E1,-1.142123413E1,4.379206467E1,2.087366867E1
5.619487113E1,-1.134474945E1,4.389594269E1,2.104446411E1
5.620481613E1,-1.128840637E1,4.396588898E1,2.098155975E1
5.621476113E1,-1.123654175E1,4.394493484E1,2.061098099E1
5.622470613E1,-1.097640228E1,4.429959106E1,2.018605423E1
5.623465113E1,-1.062566376E1,4.471527100E1,1.953924942E1
5.624459613E1,-1.046207428E1,4.496911240E1,1.856047821E1
5.625454213E1,-1.040097046E1,4.552000046E1,1.780686951E1
5.626448713E1,-1.023937225E1,4.589935684E1,1.697919846E1
5.627443213E1,-1.015480042E1,4.626474380E1,1.621306610E1
5.628437713E1,-1.007910156E1,4.657580185E1,1.566234207E1
5.629432213E1,-1.010752869E1,4.660599899E1,1.512669373E1
5.630426713E1,-1.009059906E1,4.685316086E1,1.481828690E1
5.631421212E1,-9.847061157E0,4.690501404E1,1.475484467E1
5.632415813E1,-9.592872620E0,4.690240479E1,1.470656967E1
5.633410313E1,-9.093276978E0,4.706403732E1,1.488647079E1
5.634404812E1,-8.550422668E0,4.701154709E1,1.517738724E1
5.635399312E1,-7.865844727E0,4.704560852E1,1.532761383E1
5.636393812E1,-7.233283997E0,4.701966095E1,1.528476715E1
5.637388312E1,-6.721939087E0,4.715609360E1,1.517913055E1
5.638382912E1,-6.300323486E0,4.720075226E1,1.498321915E1
5.639377412E1,-6.019538879E0,4.733015442E1,1.485711670E1
5.640371912E1,-5.820831299E0,4.748766327E1,1.448768997E1
5.641366412E1,-5.486694336E0,4.786164093E1,1.405123520E1
5.642360912E1,-5.283370972E0,4.804151917E1,1.365747833E1
5.643355412E1,-5.153358459E0,4.818546677E1,1.304574203E1
5.644349912E1,-5.089179993E0,4.838454437E1,1.236650085E1
5.645344512E1,-5.102096558E0,4.860416794E1,1.176101685E1
5.646339012E1,-5.040161133E0,4.880205536E1,1.118561554E1
5.647333512E1,-4.775863647E0,4.878654861E1,1.091401291E1
5.648328012E1,-4.616325378E0,4.890345764E1,1.081909180E1
5.649322513E1,-4.401458740E0,4.891892624E1,1.087244034E1
5.650317013E1,-4.108482361E0,4.900880051E1,1.102422714E1
5.651311513E1,-3.800155640E0,4.908625031E1,1.111530304E1
