"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.123187513E0,-4.147999763E0,3.769799805E1,2.653499985E1
4.133187513E0,-3.623399973E0,3.731979752E1,2.670579910E1
4.143187513E0,-3.013399839E0,3.694160080E1,2.677899933E1
4.153187513E0,-2.378999949E0,3.645359802E1,2.703520012E1
4.163187513E0,-1.829999924E0,3.594120026E1,2.737679863E1
4.173187513E0,-1.158999920E0,3.514820099E1,2.774279976E1
4.183187513E0,-5.489999652E-1,3.426979828E1,2.788920021E1
4.193187513E0,8.540000021E-2,3.339139938E1,2.813319969E1
4.203187513E0,6.953999996E-1,3.237879944E1,2.841379929E1
4.213187513E0,1.342000008E0,3.123199844E1,2.868219948E1
4.223187513E0,2.000799894E0,3.008519936E1,2.913360023E1
4.233187513E0,2.488800049E0,2.896279907E1,2.935319901E1
4.243187513E0,3.074399948E0,2.781599998E1,2.951179886E1
4.253187513E0,3.428200006E0,2.674239922E1,2.962159920E1
4.263187513E0,3.794199944E0,2.579080009E1,2.985339928E1
4.273187513E0,4.062600136E0,2.485140038E1,3.010960007E1
4.283187513E0,4.282199860E0,2.402179909E1,3.034140015E1
