"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.551747500E0,1.598631740E0,-1.865826398E-1,4.350798726E-1
3.561691500E0,8.067650795E-1,-2.247814238E-1,3.358760774E-1
3.571635500E0,-2.553585470E-1,-5.720152333E-2,2.627906501E-1
3.581579500E0,2.117668539E-1,-3.481390774E-1,6.361187100E-1
3.591524500E0,9.379757047E-1,-1.349270344E0,1.276797414E0
3.601468500E0,1.619925499E0,-2.750509977E0,1.653436780E0
3.611412500E0,1.716807604E0,-4.511192322E0,1.319070935E0
3.621356500E0,1.468165636E0,-4.940860748E0,2.783493996E-1
3.631300500E0,8.965705633E-1,-3.915590763E0,-9.618481398E-1
3.641245500E0,2.642874122E-1,-2.466681957E0,-2.358867168E0
3.651189500E0,-3.348714709E-1,-9.813398719E-1,-3.806663275E0
3.661133500E0,-3.011912704E-1,9.146433473E-1,-5.339185238E0
3.671077500E0,1.901799142E-1,1.458955169E0,-6.704973698E0
3.681022500E0,7.837707996E-1,1.769366264E0,-7.059024811E0
3.690966500E0,1.822617888E0,2.562831879E0,-6.394914627E0
3.700910500E0,3.304122448E0,2.817210674E0,-5.293425083E0
3.710854500E0,4.288029671E0,1.003759027E0,-4.175593853E0
3.720798500E0,2.959406137E0,-2.005326033E0,-3.195660114E0
3.730743500E0,5.767775178E-1,-3.475074530E0,-2.553437710E0
3.740687500E0,-3.721188754E-2,-2.094908714E0,-2.651617050E0
3.750631500E0,3.376426697E-1,-1.033798575E0,-3.016995668E0
3.760575500E0,7.268100977E-1,-8.843623400E-1,-2.827051878E0
3.770520500E0,6.215377450E-1,-1.439554453E0,-2.154293299E0
3.780464500E0,4.011430442E-1,-1.142602205E0,-1.216163397E0
3.790408500E0,1.364390254E-1,-6.565589905E-1,-6.535689533E-2
3.800352500E0,-2.173930854E-1,-4.487940669E-1,1.218722701E0
3.810297500E0,-8.830319643E-1,-3.851839900E-1,2.546700001E0
3.820241500E0,-1.775388122E0,-2.585080862E-1,3.788989067E0
3.830185500E0,-2.357308865E0,-8.096314967E-2,4.624049187E0
3.840129500E0,-2.535136223E0,-7.617957890E-2,4.867251873E0
3.850073500E0,-2.506989717E0,-1.265858412E-1,4.496975899E0
3.860018500E0,-2.380895853E0,1.035102084E-1,3.669709444E0
3.869962500E0,-2.175137520E0,5.733504295E-1,2.703562021E0
3.879906500E0,-1.882122278E0,9.674282074E-1,2.046500683E0
3.889850500E0,-1.515283108E0,1.226140380E0,2.049554586E0
3.899794500E0,-1.202477217E0,2.080608606E0,2.654235125E0
3.909739500E0,-8.637645841E-1,3.854780197E0,3.827807903E0
3.919683500E0,-5.340687037E-1,5.410405159E0,4.873403549E0
